City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Shaowu,CN,27.3409,117.4831,77.49,37,0,1.59,clear sky
281,Lebu,CL,-37.6167,-73.65,47.73,74,6,16.46,clear sky
282,Sorland,NO,67.667,12.6934,49.86,93,100,28.88,light rain
283,Valparaiso,CL,-33.0393,-71.6273,56.84,76,0,5.75,clear sky
284,Saldanha,ZA,-33.0117,17.9442,57.25,93,81,12.93,broken clouds
285,Hay River,CA,60.8156,-115.7999,28.38,69,20,2.3,few clouds
286,Naze,JP,28.3667,129.4833,81.52,73,4,24.74,clear sky
287,Colares,PT,38.7992,-9.4469,64.76,93,67,11.99,broken clouds
288,Xining,CN,36.6167,101.7667,44.19,48,97,3.22,overcast clouds
289,Hami,CN,42.8,93.45,55.35,42,0,7.36,clear sky
290,Constitucion,CL,-35.3333,-72.4167,52.72,72,5,11.03,clear sky
291,Xacmaz,AZ,41.4635,48.806,57.87,76,100,2.57,light rain
292,Ixtapa,MX,20.7,-105.2,72.21,78,98,4.03,overcast clouds
293,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,78,0,9.22,clear sky
294,Bela,IN,25.9333,81.9833,80.35,68,0,3.8,clear sky
295,Mana,GF,5.6592,-53.7767,78.03,87,98,6.64,overcast clouds
296,Rio Grande,BR,-32.035,-52.0986,57.88,93,0,7.74,clear sky
297,Benemerito De Las Americas,MX,16.5167,-90.6439,74.26,98,100,0.49,overcast clouds
298,Okha,RU,53.5739,142.9478,48.4,60,14,11.65,few clouds
299,Shelburne,CA,44.0787,-80.2041,60.76,88,100,15.57,moderate rain
300,Champerico,GT,14.3,-91.9167,80.78,82,100,5.23,overcast clouds
301,Sao Miguel Do Tapuio,BR,-5.5036,-41.3233,78.55,35,28,5.77,scattered clouds
302,Hobyo,SO,5.3505,48.5268,76.84,85,29,14.92,scattered clouds
303,Mount Gambier,AU,-37.8333,140.7667,53.51,87,100,10.36,light rain
304,Requena,ES,39.4883,-1.1004,52.79,89,0,2.15,clear sky
305,Severo-Kurilsk,RU,50.6789,156.125,43.5,77,96,31.88,light rain
306,Cairns,AU,-16.9167,145.7667,93.07,83,100,16.11,drizzle
307,Mehamn,NO,71.0357,27.8492,42.71,87,100,14.97,overcast clouds
308,Katsuura,JP,35.1333,140.3,60.82,93,100,18.16,moderate rain
309,Chuy,UY,-33.6971,-53.4616,55.74,74,0,9.84,clear sky
310,Fresnillo,MX,23.1667,-102.8833,62.82,45,70,4.54,broken clouds
311,Padang,ID,-0.9492,100.3543,82.45,74,100,3.4,light rain
312,Yumen,CN,40.2833,97.2,51.21,32,2,15.39,clear sky
313,Karla,EE,59.3723,24.9275,35.56,96,100,1.14,fog
314,Samarai,PG,-10.6167,150.6667,82.53,74,100,8.61,overcast clouds
315,Port Macquarie,AU,-31.4333,152.9167,69.89,63,44,11.97,scattered clouds
316,Midland,US,31.9974,-102.0779,70.48,47,0,4.61,clear sky
317,Russell,US,32.3502,-85.1999,64.18,94,40,0.0,scattered clouds
318,Mandera,KE,3.9366,41.867,75.4,68,39,12.1,scattered clouds
319,Najran,SA,17.4924,44.1277,61.45,22,37,2.59,scattered clouds
320,Nome,US,64.5011,-165.4064,34.16,77,20,5.06,few clouds
321,Paamiut,GL,61.994,-49.6678,23.18,50,2,7.52,clear sky
322,Kruisfontein,ZA,-34.0033,24.7314,62.89,93,100,3.11,overcast clouds
323,Zyryanka,RU,65.75,150.85,18.97,79,100,2.37,overcast clouds
324,Broken Hill,AU,-31.95,141.4333,56.7,82,100,13.76,overcast clouds
325,Catalina,US,32.5056,-110.9211,80.46,37,26,1.01,scattered clouds
326,San Luis,AR,-33.295,-66.3356,63.18,21,98,23.13,overcast clouds
327,Esperance,AU,-33.8667,121.9,56.34,67,94,16.49,overcast clouds
328,Ocampo,MX,21.65,-101.5,61.14,52,95,7.29,overcast clouds
329,Port Lincoln,AU,-34.7333,135.8667,59.86,65,62,22.86,broken clouds
330,Castro,BR,-24.7911,-50.0119,60.04,98,100,3.13,moderate rain
331,Dabat,ET,12.9842,37.765,53.62,74,80,4.94,broken clouds
332,Kozhva,RU,65.1073,57.0459,37.2,90,100,6.02,overcast clouds
333,Caruray,PH,10.3094,119.0128,86.07,69,100,3.96,overcast clouds
334,Kavieng,PG,-2.5744,150.7967,83.41,71,100,7.92,overcast clouds
335,Jacareacanga,BR,-6.2222,-57.7528,71.22,99,91,2.08,overcast clouds
336,Celestun,MX,20.8667,-90.4,79.47,88,99,8.97,overcast clouds
337,Cabo San Lucas,MX,22.8909,-109.9124,81.52,64,1,9.48,clear sky
338,Tual,ID,-5.6667,132.75,83.25,75,97,10.4,overcast clouds
339,Haines Junction,CA,60.7522,-137.5108,31.95,100,100,1.14,overcast clouds
340,Olinda,BR,-8.0089,-34.8553,78.53,69,75,10.36,broken clouds
341,Beni,CD,0.5,29.4667,59.92,95,100,2.21,overcast clouds
342,Martapura,ID,-3.4167,114.85,77.09,83,40,8.05,scattered clouds
343,Port Blair,IN,11.6667,92.75,84.24,74,40,2.3,scattered clouds
344,Codrington,AU,-38.2667,141.9667,51.26,94,100,4.65,light rain
345,Davidson,US,36.1501,-86.7833,63.12,84,100,11.01,overcast clouds
346,Husavik,IS,66.0449,-17.3389,37.63,78,93,9.4,overcast clouds
